City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
125,Bathsheba,BB,2020-05-10 16:22:14,13.22,-59.52,86.0,58,20,23.04,few clouds,0.0,0.0
126,Zhob,PK,2020-05-10 16:22:15,31.34,69.45,80.26,26,0,10.78,clear sky,0.0,0.0
127,Khuldabad,IN,2020-05-10 16:22:15,20.05,75.18,73.4,83,75,11.41,broken clouds,0.0,0.0
128,Ilulissat,GL,2020-05-10 16:22:15,69.22,-51.1,32.0,91,74,11.41,broken clouds,0.0,0.0
129,Chara,RU,2020-05-10 16:22:15,56.91,118.26,35.26,88,100,3.53,snow,0.0,0.0
130,Key Largo,US,2020-05-10 16:22:15,25.09,-80.45,73.99,67,100,13.0,moderate rain,0.0,0.0
131,Hohhot,CN,2020-05-10 16:22:15,40.81,111.65,42.8,30,27,2.24,scattered clouds,0.0,0.0
132,Yumen,CN,2020-05-10 16:22:16,40.28,97.2,50.67,42,0,14.2,clear sky,0.0,0.0
133,Turangi,NZ,2020-05-10 16:22:16,-39.0,175.93,42.76,89,14,2.82,few clouds,0.0,0.0
134,Brigantine,US,2020-05-10 16:22:16,39.41,-74.36,60.8,25,1,13.87,clear sky,0.0,0.0
135,Vestmanna,FO,2020-05-10 16:22:16,62.16,-7.17,35.6,59,100,13.87,light rain,0.0,0.0
136,Lasa,IT,2020-05-10 16:22:16,46.62,10.7,53.6,76,40,8.05,scattered clouds,0.0,0.0
137,San Juan,AR,2020-05-10 16:17:57,-31.54,-68.54,75.13,25,35,17.36,scattered clouds,0.0,0.0
138,Muravlenko,RU,2020-05-10 16:22:17,63.79,74.52,65.14,48,84,14.67,broken clouds,0.0,0.0
139,Maniitsoq,GL,2020-05-10 16:22:17,65.42,-52.9,39.18,77,100,10.94,light rain,0.0,0.0
140,Kharan,PK,2020-05-10 16:22:17,28.58,65.42,92.61,10,13,8.01,few clouds,0.0,0.0
141,Oum Hadjer,TD,2020-05-10 16:22:17,13.3,19.7,104.34,7,0,5.7,clear sky,0.0,0.0
142,Ponferrada,ES,2020-05-10 16:21:50,42.55,-6.6,59.0,60,80,1.99,light rain,0.0,0.0
143,Butaritari,KI,2020-05-10 16:22:18,3.07,172.79,82.62,78,18,7.99,few clouds,0.0,0.0
144,Menomonie,US,2020-05-10 16:22:18,44.88,-91.92,39.99,60,90,14.99,overcast clouds,0.0,0.0
145,Solnechnyy,RU,2020-05-10 16:22:18,50.72,136.63,43.88,84,100,7.02,overcast clouds,0.0,0.0
146,Carauari,BR,2020-05-10 16:22:18,-4.88,-66.9,89.4,55,57,2.17,light rain,0.0,0.0
147,Svetlaya,RU,2020-05-10 16:22:18,46.54,138.33,42.69,89,86,4.9,overcast clouds,0.0,0.0
148,Shache,CN,2020-05-10 16:22:18,38.42,77.24,65.98,50,95,17.58,light rain,0.0,0.0
149,Fortuna,US,2020-05-10 16:18:11,40.6,-124.16,57.0,87,90,3.36,overcast clouds,0.0,0.0
150,Chapais,CA,2020-05-10 16:22:19,49.78,-74.85,32.0,96,90,18.34,light snow,0.0,0.0
151,Pitkyaranta,RU,2020-05-10 16:22:19,61.57,31.48,44.04,61,26,5.12,scattered clouds,0.0,0.0
152,Qaqortoq,GL,2020-05-10 16:22:19,60.72,-46.03,60.8,26,75,10.29,broken clouds,0.0,0.0
153,La Ronge,CA,2020-05-10 16:22:19,55.1,-105.28,32.0,87,75,6.93,broken clouds,0.0,0.0
154,Prince Rupert,CA,2020-05-10 16:21:43,54.32,-130.32,68.0,24,1,10.29,clear sky,0.0,0.0
155,Thompson,CA,2020-05-10 16:22:19,55.74,-97.86,21.2,41,5,11.41,clear sky,0.0,0.0
156,Kalangala,UG,2020-05-10 16:22:20,-0.31,32.23,75.2,78,20,10.29,few clouds,0.0,0.0
157,Alekseyevsk,RU,2020-05-10 16:22:20,57.84,108.35,38.34,70,2,7.02,clear sky,0.0,0.0
158,Richards Bay,ZA,2020-05-10 16:17:42,-28.78,32.04,70.61,72,0,10.6,clear sky,0.0,0.0
159,Kiama,AU,2020-05-10 16:22:20,-34.68,150.87,48.0,64,3,1.01,clear sky,0.0,0.0
160,San Carlos,VE,2020-05-10 16:22:21,9.66,-68.58,92.01,43,97,6.33,overcast clouds,0.0,0.0
161,Bardiyah,LY,2020-05-10 16:22:21,31.76,25.09,69.75,52,0,7.25,clear sky,0.0,0.0
162,Sandpoint,US,2020-05-10 16:22:21,48.28,-116.55,57.2,35,1,16.11,clear sky,0.0,0.0
163,Victoria,HK,2020-05-10 16:20:02,22.29,114.16,80.01,83,98,5.01,overcast clouds,0.0,0.0
164,Nikolskoye,RU,2020-05-10 16:22:21,59.7,30.79,60.8,21,0,4.47,clear sky,0.0,0.0
165,Kanker,IN,2020-05-10 16:22:21,20.27,81.49,82.47,48,100,14.92,overcast clouds,0.0,0.0
166,Pisco,PE,2020-05-10 16:22:21,-13.7,-76.22,71.6,73,0,6.93,clear sky,0.0,0.0
167,Dhidhdhoo,MV,2020-05-10 16:22:22,6.88,73.1,85.5,71,100,7.45,overcast clouds,0.0,0.0
168,Biltine,TD,2020-05-10 16:22:22,14.53,20.92,100.78,7,0,4.85,clear sky,0.0,0.0
169,Airai,TL,2020-05-10 16:17:28,-8.93,125.41,57.22,100,8,3.29,clear sky,0.0,0.0
170,Cheyenne,US,2020-05-10 16:21:48,41.14,-104.82,46.4,42,1,11.41,clear sky,0.0,0.0
171,Kintampo,GH,2020-05-10 16:22:22,8.06,-1.73,90.68,56,44,7.81,scattered clouds,0.0,0.0
